"ts","live","ended","period","elapsed","score","best_bid","best_ask","last_trade","spread"
"1/23/2026, 2:17:33 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:17:29 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:17:01 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:16:58 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:16:30 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:16:27 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:16:01 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:15:57 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:15:30 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:15:28 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:15:00 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:14:57 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:14:30 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:14:27 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:14:00 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:13:57 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:13:30 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:13:27 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:13:00 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:12:57 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:12:31 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:12:28 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:12:01 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:11:58 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:11:30 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:11:28 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:11:01 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:10:59 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:10:29 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:10:03 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:09:58 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:09:33 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:09:28 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:09:02 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:08:57 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:08:33 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:08:29 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:08:03 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:07:57 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:07:33 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:07:29 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:07:00 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:06:57 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:06:30 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:06:27 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:06:01 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:05:59 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:05:31 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:05:29 AM","","","","","","0.999","1","0.999","0.001"
"1/23/2026, 2:05:00 AM","","","","","","0.999","1","0.999","0.001"
